Date,Open,High,Low,Close,Adj Close,Volume
01-01-1996,6.06,6.06,5.85,5.96,2.695405,175000
02-01-1996,5.96,6.05,5.9,5.95,2.690882,206000
03-01-1996,5.95,5.99,5.9,5.97,2.699927,142000
04-01-1996,5.97,5.96,5.88,5.93,2.681838,141000
05-01-1996,5.93,5.96,5.9,5.92,2.677315,94500
08-01-1996,5.92,5.9,5.82,5.85,2.645658,118500
09-01-1996,5.85,5.85,5.6,5.66,2.559731,241500
10-01-1996,5.66,5.73,5.62,5.68,2.568775,113000
11-01-1996,5.68,5.76,5.6,5.66,2.559731,159000
12-01-1996,5.66,5.67,5.6,5.65,2.555208,215500
15-01-1996,5.65,5.63,5.55,5.58,2.523551,90500
16-01-1996,5.58,5.6,5.48,5.48,2.478326,179000
17-01-1996,5.48,5.59,5.26,5.31,2.401443,214500
18-01-1996,5.31,5.31,5.2,5.28,2.387876,165000
19-01-1996,5.28,5.26,5.07,5.11,2.310994,213000
22-01-1996,5.11,5.18,5.04,5.09,2.301949,179500
23-01-1996,5.09,5.2,5.02,5.06,2.288381,199500
24-01-1996,5.06,5.06,4.9,4.93,2.229589,224500
25-01-1996,4.93,4.9,4.82,4.87,2.202454,195000
26-01-1996,null,null,null,null,null,null
29-01-1996,4.87,4.99,4.79,4.97,2.247679,155500
30-01-1996,4.97,5.1,4.97,5.04,2.279336,226000
31-01-1996,5.04,5.27,5.1,5.18,2.342651,172000
01-02-1996,5.18,5.6,5.2,5.56,2.514505,212000
02-02-1996,5.56,5.99,5.6,5.83,2.636613,409500
05-02-1996,5.83,6.2,5.9,5.99,2.708973,453000
06-02-1996,5.99,6.1,5.9,5.95,2.690882,444000
07-02-1996,5.95,5.85,5.65,5.73,2.591388,293000
08-02-1996,5.73,6.3,5.77,6.09,2.754198,333500
09-02-1996,6.09,7.31,6.7,7.3,3.301419,860000
12-02-1996,7.3,7.59,6.9,7.02,3.17479,1425500
13-02-1996,7.2,7.2,6.65,6.9,3.120519,725500
14-02-1996,6.9,7.6,7.18,7.42,3.355689,1232000
15-02-1996,7.42,7.54,7.34,7.37,3.333076,595500
16-02-1996,7.37,7.35,7.02,7.12,3.220013,698000
19-02-1996,7.12,7.3,7,7.03,3.179312,648500
20-02-1996,7.03,7.03,6.61,6.73,3.043637,680500
